Advice,Company,Target,Analyst,Date,Ticker
Buy,Kajaria Ceramics Ltd.,1430.0,Chola Wealth Direct,25 Jul 2022,KAJARIACER
Accumulate,Ceat Ltd.,1310.0,Chola Wealth Direct,22 Jul 2022,
Accumulate,Heidelberg Cement In..,205.0,Chola Wealth Direct,20 Jul 2022,
Buy,MindTree Ltd.,3970.0,Chola Wealth Direct,15 Jul 2022,MINDTREE
Buy,Berger Paints (India..,740.0,Chola Wealth Direct,13 Jun 2022,
Hold,Page Industries Ltd.,44530.0,Chola Wealth Direct,06 Jun 2022,PAGEIND
Accumulate,TTK Prestige Ltd.,940.0,Chola Wealth Direct,03 Jun 2022,
Accumulate,Heidelberg Cement In..,205.0,Chola Wealth Direct,26 May 2022,
Buy,Amara Raja Energy & ..,700.0,Chola Wealth Direct,25 May 2022,ARE&M
Buy,Kajaria Ceramics Ltd.,1510.0,Chola Wealth Direct,24 May 2022,KAJARIACER
Buy,PI Industries Ltd.,3411.0,Chola Wealth Direct,24 May 2022,PIIND
Buy,Vinati Organics Ltd.,2240.0,Chola Wealth Direct,23 May 2022,VINATIORGA
Buy,JK Lakshmi Cement Ltd.,640.0,Chola Wealth Direct,21 May 2022,
Buy,Escorts Kubota Ltd.,1970.0,Chola Wealth Direct,20 May 2022,ESCORTS
Buy,Greaves Cotton Ltd.,160.0,Chola Wealth Direct,16 May 2022,
Buy,Coforge Ltd.,4760.0,Chola Wealth Direct,13 May 2022,COFORGE
Buy,Zensar Technologies ..,400.0,Chola Wealth Direct,11 May 2022,ZENSARTECH
Buy,UPL Ltd.,1050.0,Chola Wealth Direct,10 May 2022,UPL
Buy,Ceat Ltd.,1270.0,Chola Wealth Direct,09 May 2022,CEATLTD
Buy,TVS Motor Company Ltd.,779.0,Chola Wealth Direct,09 May 2022,TVSMOTOR
Buy,Solar Industries Ind..,3209.0,Chola Wealth Direct,08 May 2022,
Buy,KEC International Ltd.,510.0,Chola Wealth Direct,05 May 2022,KEC
Buy,Supreme Industries L..,2240.0,Chola Wealth Direct,01 May 2022,SUPREMEIND
Buy,Persistent Systems L..,4570.0,Chola Wealth Direct,29 Apr 2022,PERSISTENT
Buy,KPIT Technologies Ltd.,659.0,Chola Wealth Direct,28 Apr 2022,
Buy,MindTree Ltd.,4180.0,Chola Wealth Direct,19 Apr 2022,
Buy,Va Tech Wabag Ltd.,497.0,Chola Wealth Direct,21 Feb 2022,
Buy,Samvardhana Motherso..,186.0,Chola Wealth Direct,18 Feb 2022,
Buy,Kaveri Seed Company ..,601.0,Chola Wealth Direct,17 Feb 2022,KSCL
Buy,Repco Home Finance L..,379.0,Chola Wealth Direct,17 Feb 2022,REPCOHOME
Neutral,Page Industries Ltd.,39231.0,Chola Wealth Direct,16 Feb 2022,
Neutral,Balkrishna Industrie..,2240.0,Chola Wealth Direct,16 Feb 2022,
Neutral,Berger Paints (India..,749.0,Chola Wealth Direct,15 Feb 2022,
Buy,TVS Motor Company Ltd.,735.0,Chola Wealth Direct,15 Feb 2022,TVSMOTOR
Buy,Lumax Industries Ltd.,1535.0,Chola Wealth Direct,15 Feb 2022,LUMAXIND
Buy,Brokerage Research R..,,Chola Wealth Direct,14 Feb 2022,
Buy,Brokerage Research R..,,Chola Wealth Direct,11 Feb 2022,
Buy,DCB Bank Ltd.,,Chola Wealth Direct,10 Feb 2022,
Buy,PI Industries Ltd.,,Chola Wealth Direct,10 Feb 2022,
Sell,Brokerage Research R..,,Chola Wealth Direct,09 Feb 2022,
Buy,Brokerage Research R..,,Chola Wealth Direct,09 Feb 2022,
Buy,Gabriel India Ltd.,,Chola Wealth Direct,08 Feb 2022,
Buy,Brokerage Research R..,,Chola Wealth Direct,08 Feb 2022,
Buy,City Union Bank Ltd.,187.0,Chola Wealth Direct,07 Feb 2022,CUB
Buy,Vinati Organics Ltd.,2143.0,Chola Wealth Direct,07 Feb 2022,
Buy,KPIT Technologies Ltd.,659.0,Chola Wealth Direct,04 Feb 2022,KPITTECH
Buy,Brokerage Research R..,,Chola Wealth Direct,03 Feb 2022,
Buy,Orient Cement Ltd.,,Chola Wealth Direct,03 Feb 2022,
Buy,UPL Ltd.,,Chola Wealth Direct,01 Feb 2022,
Buy,Coforge Ltd.,,Chola Wealth Direct,28 Jan 2022,
Buy,Zensar Technologies ..,505.0,Chola Wealth Direct,27 Jan 2022,
Buy,Supreme Industries L..,2696.0,Chola Wealth Direct,27 Jan 2022,SUPREMEIND
Buy,Persistent Systems L..,4927.0,Chola Wealth Direct,24 Jan 2022,PERSISTENT
Buy,Brokerage Research R..,,Chola Wealth Direct,23 Jan 2022,
Buy,Ceat Ltd.,,Chola Wealth Direct,20 Jan 2022,
Buy,Brokerage Research R..,,Chola Wealth Direct,14 Jan 2022,
Buy,Brokerage Research R..,,Chola Wealth Direct,13 Jan 2022,
Buy,Brokerage Research R..,,Chola Wealth Direct,12 Jan 2022,
Buy,Brokerage Research R..,,Chola Wealth Direct,11 Jan 2022,
Buy,Brokerage Research R..,,Chola Wealth Direct,10 Jan 2022,
Buy,Brokerage Research R..,,Chola Wealth Direct,07 Jan 2022,
Buy,Brokerage Research R..,,Chola Wealth Direct,06 Jan 2022,
Buy,Brokerage Research R..,,Chola Wealth Direct,05 Jan 2022,
Buy,Brokerage Research R..,,Chola Wealth Direct,04 Jan 2022,
Buy,Brokerage Research R..,,Chola Wealth Direct,03 Jan 2022,
Buy,UPL Ltd.,940.0,Chola Wealth Direct,14 Dec 2021,
Buy,Repco Home Finance L..,403.0,Chola Wealth Direct,03 Dec 2021,
Buy,City Union Bank Ltd.,,Chola Wealth Direct,01 Dec 2021,
Buy,Kaveri Seed Company ..,608.0,Chola Wealth Direct,23 Nov 2021,KSCL
Buy,Brokerage Research R..,,Chola Wealth Direct,18 Nov 2021,
Buy,Lumax Industries Ltd.,1652.0,Chola Wealth Direct,17 Nov 2021,LUMAXIND
Buy,PI Industries Ltd.,3406.0,Chola Wealth Direct,16 Nov 2021,
Sell,Berger Paints (India..,725.0,Chola Wealth Direct,16 Nov 2021,BERGEPAINT
Buy,Gabriel India Ltd.,170.0,Chola Wealth Direct,15 Nov 2021,GABRIEL
Neutral,Vinati Organics Ltd.,2145.0,Chola Wealth Direct,15 Nov 2021,
Buy,Amara Raja Energy & ..,,Chola Wealth Direct,14 Nov 2021,
Sell,Balkrishna Industrie..,2226.0,Chola Wealth Direct,13 Nov 2021,BALKRISIND
Neutral,UNO Minda Ltd.,812.0,Chola Wealth Direct,12 Nov 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,08 Nov 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,04 Nov 2021,
Buy,Indian Bank,195.0,Chola Wealth Direct,03 Nov 2021,INDIANB
Neutral,Au Small Finance Ban..,1289.0,Chola Wealth Direct,02 Nov 2021,
Buy,Escorts Kubota Ltd.,1758.0,Chola Wealth Direct,02 Nov 2021,
Buy,Emami Ltd.,610.0,Chola Wealth Direct,02 Nov 2021,
Sell,JK Lakshmi Cement Ltd.,584.0,Chola Wealth Direct,02 Nov 2021,JKLAKSHMI
Buy,DCB Bank Ltd.,105.0,Chola Wealth Direct,02 Nov 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,29 Oct 2021,
Buy,Persistent Systems L..,4649.0,Chola Wealth Direct,29 Oct 2021,
Buy,Orient Cement Ltd.,192.0,Chola Wealth Direct,27 Oct 2021,
Buy,Ceat Ltd.,1408.0,Chola Wealth Direct,27 Oct 2021,CEATLTD
Buy,Supreme Industries L..,,Chola Wealth Direct,26 Oct 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,25 Oct 2021,
Buy,TVS Motor Company Ltd.,664.0,Chola Wealth Direct,23 Oct 2021,
Buy,Heidelberg Cement In..,267.0,Chola Wealth Direct,21 Oct 2021,HEIDELBERG
Buy,Brokerage Research R..,,Chola Wealth Direct,18 Oct 2021,
Sell,MindTree Ltd.,4220.0,Chola Wealth Direct,14 Oct 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,04 Oct 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,01 Oct 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,30 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,29 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,28 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,27 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,24 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,23 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,22 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,21 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,16 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,15 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,14 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,13 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,09 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,08 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,07 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,06 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,03 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,02 Sep 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,01 Sep 2021,
Buy,Kaveri Seed Company ..,667.0,Chola Wealth Direct,20 Aug 2021,KSCL
Buy,Repco Home Finance L..,403.0,Chola Wealth Direct,19 Aug 2021,REPCOHOME
Sell,JK Cement Ltd.,2836.0,Chola Wealth Direct,18 Aug 2021,
Buy,Page Industries Ltd.,33332.0,Chola Wealth Direct,17 Aug 2021,
Neutral,Va Tech Wabag Ltd.,369.0,Chola Wealth Direct,17 Aug 2021,WABAG
Buy,UNO Minda Ltd.,,Chola Wealth Direct,17 Aug 2021,
Buy,Amara Raja Energy & ..,908.0,Chola Wealth Direct,16 Aug 2021,ARE&M
Buy,Amara Raja Energy & ..,,Chola Wealth Direct,16 Aug 2021,
Neutral,Greaves Cotton Ltd.,151.0,Chola Wealth Direct,13 Aug 2021,GREAVESCOT
Buy,Kajaria Ceramics Ltd.,1160.0,Chola Wealth Direct,12 Aug 2021,
Buy,DCB Bank Ltd.,105.0,Chola Wealth Direct,12 Aug 2021,DCBBANK
Neutral,Escorts Kubota Ltd.,1283.0,Chola Wealth Direct,12 Aug 2021,
Neutral,Samvardhana Motherso..,235.0,Chola Wealth Direct,11 Aug 2021,MOTHERSON
Neutral,Emami Ltd.,615.0,Chola Wealth Direct,11 Aug 2021,
Neutral,Au Small Finance Ban..,1289.0,Chola Wealth Direct,10 Aug 2021,AUBANK
Buy,Lumax Industries Ltd.,1858.0,Chola Wealth Direct,10 Aug 2021,
Neutral,Vinati Organics Ltd.,2145.0,Chola Wealth Direct,09 Aug 2021,VINATIORGA
Sell,Balkrishna Industrie..,2196.0,Chola Wealth Direct,08 Aug 2021,
Buy,Gabriel India Ltd.,162.0,Chola Wealth Direct,06 Aug 2021,GABRIEL
Sell,RBL Bank Ltd.,175.0,Chola Wealth Direct,04 Aug 2021,
Buy,Orient Cement Ltd.,192.0,Chola Wealth Direct,04 Aug 2021,
Neutral,PI Industries Ltd.,3406.0,Chola Wealth Direct,03 Aug 2021,
Neutral,Solar Industries Ind..,1811.0,Chola Wealth Direct,03 Aug 2021,SOLARINDS
Sell,JK Lakshmi Cement Ltd.,604.0,Chola Wealth Direct,02 Aug 2021,
Sell,TVS Motor Company Ltd.,542.0,Chola Wealth Direct,30 Jul 2021,TVSMOTOR
Buy,KPIT Technologies Ltd.,318.0,Chola Wealth Direct,30 Jul 2021,KPITTECH
Buy,TTK Prestige Ltd.,10348.0,Chola Wealth Direct,29 Jul 2021,TTKPRESTIG
Neutral,Zensar Technologies ..,404.0,Chola Wealth Direct,28 Jul 2021,ZENSARTECH
Buy,Ceat Ltd.,1442.0,Chola Wealth Direct,23 Jul 2021,
Buy,Indian Bank,170.0,Chola Wealth Direct,22 Jul 2021,
Neutral,MindTree Ltd.,2696.0,Chola Wealth Direct,15 Jul 2021,MINDTREE
Buy,UNO Minda Ltd.,731.0,Chola Wealth Direct,22 Jun 2021,UNOMINDA
Buy,Kajaria Ceramics Ltd.,1160.0,Chola Wealth Direct,17 Jun 2021,KAJARIACER
Buy,Lumax Industries Ltd.,1858.0,Chola Wealth Direct,16 Jun 2021,LUMAXIND
Buy,JK Cement Ltd.,2953.0,Chola Wealth Direct,15 Jun 2021,JKCEMENT
Neutral,Va Tech Wabag Ltd.,350.0,Chola Wealth Direct,11 Jun 2021,
Neutral,Samvardhana Motherso..,238.0,Chola Wealth Direct,04 Jun 2021,MOTHERSON
Neutral,Solar Industries Ind..,1678.0,Chola Wealth Direct,03 Jun 2021,
Buy,Indian Bank,170.0,Chola Wealth Direct,03 Jun 2021,INDIANB
Buy,Heidelberg Cement In..,292.0,Chola Wealth Direct,01 Jun 2021,HEIDELBERG
Buy,Kaveri Seed Company ..,812.0,Chola Wealth Direct,01 Jun 2021,KSCL
Buy,City Union Bank Ltd.,197.0,Chola Wealth Direct,01 Jun 2021,
Sell,Berger Paints (India..,612.0,Chola Wealth Direct,31 May 2021,BERGEPAINT
Buy,TTK Prestige Ltd.,9480.0,Chola Wealth Direct,27 May 2021,TTKPRESTIG
Buy,Emami Ltd.,579.0,Chola Wealth Direct,26 May 2021,EMAMILTD
Buy,JK Lakshmi Cement Ltd.,604.0,Chola Wealth Direct,24 May 2021,JKLAKSHMI
Buy,Orient Cement Ltd.,,Chola Wealth Direct,20 May 2021,
Buy,Orient Cement Ltd.,,Chola Wealth Direct,20 May 2021,
Buy,Escorts Kubota Ltd.,1277.0,Chola Wealth Direct,19 May 2021,ESCORTS
Neutral,Vinati Organics Ltd.,1808.0,Chola Wealth Direct,18 May 2021,
Neutral,Balkrishna Industrie..,1935.0,Chola Wealth Direct,17 May 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,14 May 2021,
Buy,DCB Bank Ltd.,107.0,Chola Wealth Direct,11 May 2021,
Buy,Coforge Ltd.,3542.0,Chola Wealth Direct,10 May 2021,COFORGE
Neutral,Greaves Cotton Ltd.,155.0,Chola Wealth Direct,07 May 2021,
Buy,Ceat Ltd.,1442.0,Chola Wealth Direct,07 May 2021,CEATLTD
Sell,RBL Bank Ltd.,,Chola Wealth Direct,06 May 2021,
Buy,Shriram City Union F..,1821.0,Chola Wealth Direct,05 May 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,04 May 2021,
Neutral,Zensar Technologies ..,287.0,Chola Wealth Direct,03 May 2021,
Neutral,Persistent Systems L..,2091.0,Chola Wealth Direct,03 May 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,30 Apr 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,29 Apr 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,28 Apr 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,27 Apr 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,26 Apr 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,23 Apr 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,22 Apr 2021,
Buy,Repco Home Finance L..,387.0,Chola Wealth Direct,26 Feb 2021,REPCOHOME
Buy,Kaveri Seed Company ..,609.0,Chola Wealth Direct,25 Feb 2021,
Sell,Greaves Cotton Ltd.,108.0,Chola Wealth Direct,24 Feb 2021,GREAVESCOT
Buy,Amara Raja Energy & ..,1015.0,Chola Wealth Direct,24 Feb 2021,
Buy,Va Tech Wabag Ltd.,304.0,Chola Wealth Direct,23 Feb 2021,WABAG
Neutral,Page Industries Ltd.,28612.0,Chola Wealth Direct,23 Feb 2021,
Buy,Balkrishna Industrie..,1822.0,Chola Wealth Direct,22 Feb 2021,
Buy,Lumax Industries Ltd.,1780.0,Chola Wealth Direct,22 Feb 2021,LUMAXIND
Buy,Gabriel India Ltd.,145.0,Chola Wealth Direct,19 Feb 2021,
Neutral,Samvardhana Motherso..,218.0,Chola Wealth Direct,18 Feb 2021,MOTHERSON
Buy,TTK Prestige Ltd.,8069.0,Chola Wealth Direct,18 Feb 2021,TTKPRESTIG
Buy,City Union Bank Ltd.,197.0,Chola Wealth Direct,18 Feb 2021,CUB
Buy,Escorts Kubota Ltd.,1511.0,Chola Wealth Direct,17 Feb 2021,ESCORTS
Neutral,Shriram City Union F..,1466.0,Chola Wealth Direct,16 Feb 2021,
Buy,Heidelberg Cement In..,257.0,Chola Wealth Direct,16 Feb 2021,HEIDELBERG
Sell,Berger Paints (India..,601.0,Chola Wealth Direct,15 Feb 2021,BERGEPAINT
Buy,JK Cement Ltd.,,Chola Wealth Direct,12 Feb 2021,
Buy,Coforge Ltd.,2850.0,Chola Wealth Direct,11 Feb 2021,
Buy,KPIT Technologies Ltd.,161.0,Chola Wealth Direct,10 Feb 2021,KPITTECH
Buy,UNO Minda Ltd.,631.0,Chola Wealth Direct,10 Feb 2021,
Buy,Solar Industries Ind..,1405.0,Chola Wealth Direct,08 Feb 2021,
Buy,PI Industries Ltd.,2524.0,Chola Wealth Direct,08 Feb 2021,
Buy,Solar Industries Ind..,1405.0,Chola Wealth Direct,05 Feb 2021,
Buy,Brokerage Research R..,,Chola Wealth Direct,04 Feb 2021,
Buy,KEC International Ltd.,460.0,Chola Wealth Direct,02 Feb 2021,KEC
Buy,Orient Cement Ltd.,,Chola Wealth Direct,02 Feb 2021,
Sell,RBL Bank Ltd.,,Chola Wealth Direct,02 Feb 2021,
Buy,Emami Ltd.,574.0,Chola Wealth Direct,29 Jan 2021,
Buy,DCB Bank Ltd.,,Chola Wealth Direct,28 Jan 2021,
Buy,Kajaria Ceramics Ltd.,931.0,Chola Wealth Direct,27 Jan 2021,
Buy,Indian Bank,103.0,Chola Wealth Direct,27 Jan 2021,INDIANB
Buy,Ceat Ltd.,1511.0,Chola Wealth Direct,21 Jan 2021,
Neutral,MindTree Ltd.,1609.0,Chola Wealth Direct,20 Jan 2021,MINDTREE
Buy,Lumax Industries Ltd.,1455.0,Chola Wealth Direct,01 Dec 2020,LUMAXIND
Sell,Gabriel India Ltd.,79.0,Chola Wealth Direct,25 Nov 2020,GABRIEL
Neutral,Solar Industries Ind..,1104.0,Chola Wealth Direct,24 Nov 2020,
Sell,Greaves Cotton Ltd.,66.0,Chola Wealth Direct,23 Nov 2020,GREAVESCOT
Buy,TTK Prestige Ltd.,6794.0,Chola Wealth Direct,20 Nov 2020,TTKPRESTIG
Neutral,Balkrishna Industrie..,1630.0,Chola Wealth Direct,20 Nov 2020,BALKRISIND
Neutral,UNO Minda Ltd.,390.0,Chola Wealth Direct,20 Nov 2020,UNOMINDA
Sell,Vinati Organics Ltd.,1012.0,Chola Wealth Direct,19 Nov 2020,VINATIORGA
Buy,Kaveri Seed Company ..,,Chola Wealth Direct,18 Nov 2020,
Buy,Shriram City Union F..,1006.0,Chola Wealth Direct,17 Nov 2020,
Neutral,Samvardhana Motherso..,134.0,Chola Wealth Direct,17 Nov 2020,
Buy,JK Cement Ltd.,2099.0,Chola Wealth Direct,13 Nov 2020,JKCEMENT
Buy,City Union Bank Ltd.,191.0,Chola Wealth Direct,12 Nov 2020,
Buy,KEC International Ltd.,397.0,Chola Wealth Direct,10 Nov 2020,KEC
Buy,DCB Bank Ltd.,,Chola Wealth Direct,10 Nov 2020,
Sell,TVS Motor Company Ltd.,404.0,Chola Wealth Direct,09 Nov 2020,TVSMOTOR
Sell,RBL Bank Ltd.,,Chola Wealth Direct,04 Nov 2020,
Buy,Orient Cement Ltd.,,Chola Wealth Direct,03 Nov 2020,
Buy,Zensar Technologies ..,,Chola Wealth Direct,02 Nov 2020,
Buy,PI Industries Ltd.,,Chola Wealth Direct,30 Oct 2020,
Buy,Brokerage Research R..,,Chola Wealth Direct,29 Oct 2020,
Buy,Persistent Systems L..,1403.0,Chola Wealth Direct,28 Oct 2020,
Buy,Heidelberg Cement In..,201.0,Chola Wealth Direct,27 Oct 2020,HEIDELBERG
Neutral,Coforge Ltd.,2451.0,Chola Wealth Direct,26 Oct 2020,COFORGE
Buy,KPIT Technologies Ltd.,110.0,Chola Wealth Direct,23 Oct 2020,KPITTECH
Neutral,Kajaria Ceramics Ltd.,633.0,Chola Wealth Direct,21 Oct 2020,
Neutral,MindTree Ltd.,1468.0,Chola Wealth Direct,19 Oct 2020,
Buy,Va Tech Wabag Ltd.,,Chola Wealth Direct,22 Sep 2020,
Buy,Repco Home Finance L..,199.0,Chola Wealth Direct,14 Sep 2020,REPCOHOME
Buy,Page Industries Ltd.,20763.0,Chola Wealth Direct,09 Sep 2020,
Neutral,UNO Minda Ltd.,343.0,Chola Wealth Direct,26 Aug 2020,UNOMINDA
Sell,Greaves Cotton Ltd.,72.0,Chola Wealth Direct,26 Aug 2020,GREAVESCOT
Sell,Berger Paints (India..,483.0,Chola Wealth Direct,24 Aug 2020,BERGEPAINT
Neutral,Amara Raja Energy & ..,782.0,Chola Wealth Direct,21 Aug 2020,
Buy,Kaveri Seed Company ..,,Chola Wealth Direct,20 Aug 2020,
Buy,Brokerage Research R..,,Chola Wealth Direct,20 Aug 2020,
Neutral,Balkrishna Industrie..,1370.0,Chola Wealth Direct,20 Aug 2020,
Buy,Brokerage Research R..,,Chola Wealth Direct,20 Aug 2020,
Buy,Brokerage Research R..,,Chola Wealth Direct,17 Aug 2020,
Buy,Brokerage Research R..,,Chola Wealth Direct,12 Aug 2020,
Buy,PI Industries Ltd.,,Chola Wealth Direct,11 Aug 2020,
Sell,Vinati Organics Ltd.,885.0,Chola Wealth Direct,05 Aug 2020,VINATIORGA
Sell,Persistent Systems L..,826.0,Chola Wealth Direct,03 Aug 2020,
Buy,Orient Cement Ltd.,,Chola Wealth Direct,31 Jul 2020,
Buy,Zensar Technologies ..,,Chola Wealth Direct,28 Jul 2020,
Buy,Heidelberg Cement In..,,Chola Wealth Direct,27 Jul 2020,
Sell,MindTree Ltd.,904.0,Chola Wealth Direct,16 Jul 2020,
Buy,Kajaria Ceramics Ltd.,474.0,Chola Wealth Direct,02 Jul 2020,KAJARIACER
Buy,TTK Prestige Ltd.,6209.0,Chola Wealth Direct,30 Jun 2020,TTKPRESTIG
Sell,Emami Ltd.,202.0,Chola Wealth Direct,30 Jun 2020,
Sell,Page Industries Ltd.,18904.0,Chola Wealth Direct,29 Jun 2020,
Sell,Berger Paints (India..,393.0,Chola Wealth Direct,26 Jun 2020,BERGEPAINT
Buy,Lumax Industries Ltd.,1200.0,Chola Wealth Direct,25 Jun 2020,LUMAXIND
Sell,Balkrishna Industrie..,1118.0,Chola Wealth Direct,24 Jun 2020,BALKRISIND
Sell,City Union Bank Ltd.,118.0,Chola Wealth Direct,22 Jun 2020,
Buy,JK Cement Ltd.,1466.0,Chola Wealth Direct,22 Jun 2020,
Sell,Vinati Organics Ltd.,892.0,Chola Wealth Direct,18 Jun 2020,
Neutral,Shriram City Union F..,701.0,Chola Wealth Direct,16 Jun 2020,
Buy,PI Industries Ltd.,1767.0,Chola Wealth Direct,12 Jun 2020,
Sell,Greaves Cotton Ltd.,70.0,Chola Wealth Direct,12 Jun 2020,
Buy,Amara Raja Energy & ..,727.0,Chola Wealth Direct,10 Jun 2020,
Buy,Samvardhana Motherso..,111.0,Chola Wealth Direct,08 Jun 2020,MOTHERSON
Sell,Ceat Ltd.,,Chola Wealth Direct,05 Jun 2020,
Buy,KEC International Ltd.,295.0,Chola Wealth Direct,04 Jun 2020,KEC
Buy,Heidelberg Cement In..,200.0,Chola Wealth Direct,02 Jun 2020,HEIDELBERG
Sell,TVS Motor Company Ltd.,328.0,Chola Wealth Direct,02 Jun 2020,TVSMOTOR
Buy,Supreme Industries L..,1159.0,Chola Wealth Direct,01 Jun 2020,
Buy,Orient Cement Ltd.,63.0,Chola Wealth Direct,29 May 2020,ORIENTCEM
Buy,KPIT Technologies Ltd.,58.0,Chola Wealth Direct,29 May 2020,KPITTECH
Buy,JK Lakshmi Cement Ltd.,284.0,Chola Wealth Direct,25 May 2020,JKLAKSHMI
Buy,Zensar Technologies ..,,Chola Wealth Direct,20 May 2020,
Sell,Gabriel India Ltd.,,Chola Wealth Direct,20 May 2020,
Buy,Brokerage Research R..,,Chola Wealth Direct,19 May 2020,
Buy,Persistent Systems L..,619.0,Chola Wealth Direct,11 May 2020,PERSISTENT
Neutral,Coforge Ltd.,1418.0,Chola Wealth Direct,07 May 2020,COFORGE
Neutral,Greaves Cotton Ltd.,134.0,Chola Wealth Direct,25 Feb 2020,
Sell,Rane Holdings Ltd.,437.0,Chola Wealth Direct,24 Feb 2020,
Neutral,PI Industries Ltd.,1535.0,Chola Wealth Direct,19 Feb 2020,PIIND
Sell,Balkrishna Industrie..,1074.0,Chola Wealth Direct,19 Feb 2020,BALKRISIND
Buy,TTK Prestige Ltd.,6917.0,Chola Wealth Direct,19 Feb 2020,TTKPRESTIG
Buy,Heidelberg Cement In..,216.0,Chola Wealth Direct,17 Feb 2020,HEIDELBERG
Neutral,Page Industries Ltd.,21724.0,Chola Wealth Direct,17 Feb 2020,PAGEIND
Neutral,Amara Raja Energy & ..,789.0,Chola Wealth Direct,17 Feb 2020,ARE&M
Neutral,City Union Bank Ltd.,230.0,Chola Wealth Direct,14 Feb 2020,CUB
Sell,Solar Industries Ind..,1048.0,Chola Wealth Direct,14 Feb 2020,
Buy,Kajaria Ceramics Ltd.,631.0,Chola Wealth Direct,13 Feb 2020,KAJARIACER
Neutral,JK Cement Ltd.,1354.0,Chola Wealth Direct,12 Feb 2020,
Buy,Va Tech Wabag Ltd.,270.0,Chola Wealth Direct,11 Feb 2020,WABAG
Sell,Berger Paints (India..,415.0,Chola Wealth Direct,11 Feb 2020,
Buy,Repco Home Finance L..,377.0,Chola Wealth Direct,10 Feb 2020,REPCOHOME
Neutral,UNO Minda Ltd.,351.0,Chola Wealth Direct,10 Feb 2020,UNOMINDA
Buy,KEC International Ltd.,405.0,Chola Wealth Direct,10 Feb 2020,KEC
Buy,Kaveri Seed Company ..,,Chola Wealth Direct,07 Feb 2020,
Buy,Brokerage Research R..,,Chola Wealth Direct,30 Jan 2020,
Buy,Indian Bank,132.0,Chola Wealth Direct,29 Jan 2020,INDIANB
Neutral,Zensar Technologies ..,179.0,Chola Wealth Direct,29 Jan 2020,
Sell,Ceat Ltd.,956.0,Chola Wealth Direct,28 Jan 2020,
Neutral,Supreme Industries L..,1484.0,Chola Wealth Direct,27 Jan 2020,
Buy,DCB Bank Ltd.,,Chola Wealth Direct,27 Jan 2020,
Hold,Au Small Finance Ban..,1060.0,Chola Wealth Direct,24 Jan 2020,AUBANK
Sell,RBL Bank Ltd.,286.0,Chola Wealth Direct,23 Jan 2020,
Neutral,MindTree Ltd.,852.0,Chola Wealth Direct,15 Jan 2020,
Buy,Emami Ltd.,359.0,Chola Wealth Direct,05 Dec 2019,EMAMILTD
Buy,Solar Industries Ind..,1167.0,Chola Wealth Direct,29 Nov 2019,SOLARINDS
Hold,Vinati Organics Ltd.,1987.0,Chola Wealth Direct,27 Nov 2019,
Hold,Coforge Ltd.,1423.0,Chola Wealth Direct,26 Nov 2019,
Buy,Supreme Industries L..,1152.0,Chola Wealth Direct,26 Nov 2019,SUPREMEIND
Buy,KEC International Ltd.,342.0,Chola Wealth Direct,25 Nov 2019,KEC
Buy,Kaveri Seed Company ..,628.0,Chola Wealth Direct,25 Nov 2019,KSCL
Hold,Amara Raja Energy & ..,780.0,Chola Wealth Direct,22 Nov 2019,
Hold,RBL Bank Ltd.,356.0,Chola Wealth Direct,22 Nov 2019,
