Advice,Company,Target,Analyst,Date,Ticker
Buy,Gammon India Ltd.,75.0,Ajcon Global,09 Feb 2012,
Buy,Rossari Biotech Ltd.,950.0,Anand Rathi,13 Jun 2024,
Buy,Kewal Kiran Clothing..,811.0,Anand Rathi,04 Jun 2024,
Buy,Birla Corporation Ltd.,2011.0,Anand Rathi,06 May 2024,BIRLACORPN
Buy,Kotak Mahindra Bank ..,1855.0,Anand Rathi,06 May 2024,
Buy,South Indian Bank Ltd.,39.0,Anand Rathi,03 May 2024,
Buy,Federal Bank Ltd.,202.0,Anand Rathi,02 May 2024,FEDERALBNK
Buy,Cholamandalam Invest..,1525.0,Anand Rathi,02 May 2024,
Buy,Orient Cement Ltd.,319.0,Anand Rathi,02 May 2024,ORIENTCEM
Buy,Birlasoft Ltd.,810.0,Anand Rathi,02 May 2024,
Buy,IndiaMART InterMESH ..,3250.0,Anand Rathi,02 May 2024,
Buy,Havells India Ltd.,1911.0,Anand Rathi,02 May 2024,
Buy,Spandana Sphoorty Fi..,1361.0,Anand Rathi,29 Apr 2024,
Buy,L&T Finance Ltd.,205.0,Anand Rathi,29 Apr 2024,
Buy,IndusInd Bank Ltd.,1758.0,Anand Rathi,25 Apr 2024,INDUSINDBK
Buy,DCB Bank Ltd.,181.0,Anand Rathi,24 Apr 2024,DCBBANK
Buy,Jindal Drilling & In..,960.0,Anand Rathi,22 Apr 2024,
Buy,Coal India Ltd.,520.0,Anand Rathi,22 Apr 2024,
Buy,Pricol Ltd.,495.0,Anand Rathi,18 Apr 2024,
Buy,Patel Engineering Ltd.,66.0,Anand Rathi,16 Apr 2024,
Buy,Patel Engineering Ltd.,66.0,Anand Rathi,16 Apr 2024,
Buy,Kaynes Technology In..,3100.0,Anand Rathi,15 Apr 2024,
Buy,Kaynes Technology In..,3100.0,Anand Rathi,12 Apr 2024,
Buy,Bharat Electronics L..,250.0,Anand Rathi,26 Mar 2024,
Buy,PI Industries Ltd.,4600.0,Anand Rathi,22 Mar 2024,
Buy,Godrej Consumer Prod..,1360.0,Anand Rathi,20 Mar 2024,
Buy,Tata Power Company L..,256.0,Anand Rathi,24 May 2023,
Buy,Laxmi Organic Indust..,310.0,Anand Rathi,24 May 2023,LXCHEM
Buy,Star Health and Alli..,723.0,Anand Rathi,31 Mar 2023,
Buy,Poonawalla Fincorp L..,417.0,Anand Rathi,31 Mar 2023,
Buy,Hero MotoCorp Ltd.,2855.0,Anand Rathi,16 Mar 2023,
Buy,Bharti Airtel Ltd.,890.0,Anand Rathi,09 Mar 2023,
Buy,NCL Industries Ltd.,242.0,Anand Rathi,06 Jun 2022,NCLIND
Buy,Gabriel India Ltd.,138.0,Anand Rathi,30 May 2022,
Buy,Aditya Birla Fashion..,358.0,Anand Rathi,26 May 2022,
Buy,UNO Minda Ltd.,1106.0,Anand Rathi,26 May 2022,
Buy,Indian Bank,185.0,Anand Rathi,24 May 2022,
Buy,JK Lakshmi Cement Ltd.,661.0,Anand Rathi,24 May 2022,
Buy,IndiaMART InterMESH ..,5500.0,Anand Rathi,24 May 2022,
Buy,Cera Sanitaryware Ltd.,5171.0,Anand Rathi,22 May 2022,
Buy,Intellect Design Are..,850.0,Anand Rathi,20 May 2022,
Buy,Vinati Organics Ltd.,2350.0,Anand Rathi,19 May 2022,
Buy,Kalpataru Projects I..,427.0,Anand Rathi,17 May 2022,
Buy,JMC Projects (India)..,148.0,Anand Rathi,17 May 2022,
Buy,Birla Corporation Ltd.,1514.0,Anand Rathi,17 May 2022,
Buy,Sagar Cements Ltd.,305.0,Anand Rathi,17 May 2022,
Buy,Larsen & Toubro Ltd.,1972.0,Anand Rathi,16 May 2022,
Buy,Sharda Cropchem Ltd.,835.0,Anand Rathi,16 May 2022,SHARDACROP
Buy,Balkrishna Industrie..,3066.0,Anand Rathi,16 May 2022,BALKRISIND
Buy,DCB Bank Ltd.,110.0,Anand Rathi,12 May 2022,
Buy,Federal Bank Ltd.,115.0,Anand Rathi,12 May 2022,
Buy,TVS Motor Company Ltd.,768.0,Anand Rathi,07 May 2022,
Buy,Exide Industries Ltd.,195.0,Anand Rathi,07 May 2022,
Buy,Exide Industries Ltd.,195.0,Anand Rathi,07 May 2022,
Buy,Ramkrishna Forgings ..,287.0,Anand Rathi,05 May 2022,
Buy,MphasiS Ltd.,4150.0,Anand Rathi,05 May 2022,
Buy,IndusInd Bank Ltd.,1200.0,Anand Rathi,03 May 2022,
Buy,Persistent Systems L..,4980.0,Anand Rathi,30 Apr 2022,
Buy,Cyient Ltd.,1250.0,Anand Rathi,25 Apr 2022,
Buy,Rallis India Ltd.,320.0,Anand Rathi,25 Apr 2022,
Buy,Mastek Ltd.,3400.0,Anand Rathi,22 Apr 2022,
Buy,Tata Consultancy Ser..,4350.0,Anand Rathi,14 Apr 2022,
Buy,Tata Consultancy Ser..,4350.0,Anand Rathi,14 Apr 2022,
Buy,NCL Industries Ltd.,264.0,Anand Rathi,04 Apr 2022,
Buy,Container Corporatio..,823.0,Anand Rathi,28 Mar 2022,
Buy,Container Corporatio..,823.0,Anand Rathi,28 Mar 2022,
Buy,KSB Ltd.,1352.0,Anand Rathi,04 Mar 2022,
Buy,Ashoka Buildcon Ltd.,159.0,Anand Rathi,23 Feb 2022,ASHOKA
Buy,Ashoka Buildcon Ltd.,159.0,Anand Rathi,23 Feb 2022,ASHOKA
Buy,Ahluwalia Contracts ..,508.0,Anand Rathi,23 Feb 2022,
Buy,PNC Infratech Ltd.,378.0,Anand Rathi,23 Feb 2022,
Buy,PNC Infratech Ltd.,378.0,Anand Rathi,23 Feb 2022,
Buy,PNC Infratech Ltd.,378.0,Anand Rathi,23 Feb 2022,
Buy,Laxmi Organic Indust..,535.0,Anand Rathi,15 Feb 2022,
Buy,Endurance Technologi..,1696.0,Anand Rathi,15 Feb 2022,
Buy,Indian Hotels Compan..,254.0,Anand Rathi,13 Feb 2022,
Buy,Indian Hotels Compan..,254.0,Anand Rathi,13 Feb 2022,
Buy,Indian Hotels Compan..,254.0,Anand Rathi,13 Feb 2022,
Buy,Orient Cement Ltd.,233.0,Anand Rathi,04 Feb 2022,
Buy,SBI Cards and Paymen..,1221.0,Anand Rathi,27 Jan 2022,
Buy,SBI Cards and Paymen..,1221.0,Anand Rathi,27 Jan 2022,
Buy,Sharda Cropchem Ltd.,600.0,Anand Rathi,27 Jan 2022,
Buy,SBI Life Insurance C..,1504.0,Anand Rathi,27 Jan 2022,
Buy,Sonata Software Ltd.,1050.0,Anand Rathi,24 Jan 2022,
Buy,Amara Raja Energy & ..,907.0,Anand Rathi,06 Oct 2020,
Buy,Sudarshan Chemical I..,585.0,Anand Rathi,30 Sep 2020,
Buy,KEC International Ltd.,398.0,Anand Rathi,23 Sep 2020,
Buy,Deccan Cements Ltd.,458.0,Anand Rathi,20 Aug 2020,
Buy,Suven Pharmaceutical..,760.0,Anand Rathi,18 Aug 2020,
Buy,Mayur Uniquoters Ltd.,337.0,Anand Rathi,18 Aug 2020,
Buy,Sanghi Industries Ltd.,31.0,Anand Rathi,17 Aug 2020,
Buy,The Ramco Cements Ltd.,777.0,Anand Rathi,17 Aug 2020,
Buy,Greenply Industries ..,110.0,Anand Rathi,17 Aug 2020,
Buy,Balkrishna Industrie..,1637.0,Anand Rathi,14 Aug 2020,
Buy,Zee Entertainment En..,220.0,Anand Rathi,27 Jul 2020,
Buy,Karnataka Bank Ltd.,60.0,Anand Rathi,13 Jul 2020,
Buy,KNR Constructions Ltd.,272.0,Anand Rathi,15 Jun 2020,
Buy,Granules India Ltd.,227.0,Anand Rathi,03 Jun 2020,
Buy,KEI Industries Ltd.,411.0,Anand Rathi,02 Jun 2020,
Buy,Bata India Ltd.,1600.0,Anand Rathi,30 May 2020,
Buy,MindTree Ltd.,,Angel Broking,28 May 2020,
Buy,Dewan Housing Financ..,300.0,Angel Broking,07 Dec 2018,DHFL
Buy,VIP Industries Ltd.,555.0,Angel Broking,19 Nov 2018,
Accumulate,Aurobindo Pharma Ltd.,855.0,Angel Broking,19 Nov 2018,
Buy,Siyaram Silk Mills L..,549.0,Angel Broking,15 Nov 2018,SIYSIL
Buy,Jindal Steel & Power..,320.0,Angel Broking,15 Nov 2018,
Buy,Mahindra & Mahindra ..,1050.0,Angel Broking,15 Nov 2018,
Buy,Automotive Axles Ltd.,1450.0,Angel Broking,15 Nov 2018,
Buy,Ashok Leyland Ltd.,149.0,Angel Broking,15 Nov 2018,ASHOKLEY
Buy,TV Today Network Ltd.,498.0,Angel Broking,12 Nov 2018,TVTODAY
Buy,Inox Wind Ltd.,120.0,Angel Broking,10 Nov 2018,INOXWIND
Buy,Safari Industries (I..,1000.0,Angel Broking,09 Nov 2018,
Buy,Parag Milk Foods Ltd.,330.0,Angel Broking,06 Nov 2018,PARAGMILK
Buy,NTPC Ltd.,195.0,Angel Broking,06 Nov 2018,NTPC
Buy,Bata India Ltd.,1243.0,Angel Broking,03 Nov 2018,BATAINDIA
Buy,KEI Industries Ltd.,500.0,Angel Broking,02 Nov 2018,KEI
Buy,Blue Star Ltd.,867.0,Angel Broking,01 Nov 2018,
Buy,Shriram Finance Ltd.,1760.0,Angel Broking,01 Nov 2018,
Buy,ICICI Bank Ltd.,410.0,Angel Broking,30 Oct 2018,ICICIBANK
Buy,HDFC Bank Ltd.,2350.0,Angel Broking,30 Oct 2018,
Buy,Music Broadcast Ltd.,475.0,Angel Broking,30 Oct 2018,
Buy,Maruti Suzuki India ..,8552.0,Angel Broking,29 Oct 2018,MARUTI
Buy,Lumax Industries Ltd.,2500.0,Angel Broking,26 Oct 2018,LUMAXIND
Buy,TTK Prestige Ltd.,7500.0,Angel Broking,25 Oct 2018,
Sell,Tata Consultancy Ser..,1800.0,Angel Broking,16 Oct 2018,
Buy,Aurobindo Pharma Ltd.,870.0,Angel Broking,07 Sep 2018,AUROPHARMA
Buy,Lumax Industries Ltd.,2550.0,Angel Broking,28 Aug 2018,
Buy,Siyaram Silk Mills L..,700.0,Angel Broking,20 Aug 2018,SIYSIL
Buy,Safari Industries (I..,1000.0,Angel Broking,18 Aug 2018,SAFARI
Buy,TTK Prestige Ltd.,7500.0,Angel Broking,17 Aug 2018,
Buy,Jindal Steel & Power..,320.0,Angel Broking,14 Aug 2018,
Buy,KEI Industries Ltd.,508.0,Angel Broking,13 Aug 2018,
Buy,GMM Pfaudler Ltd.,1200.0,Angel Broking,13 Aug 2018,
Buy,Aurobindo Pharma Ltd.,780.0,Angel Broking,10 Aug 2018,AUROPHARMA
Buy,Blue Star Ltd.,867.0,Angel Broking,10 Aug 2018,
Buy,Amber Enterprises In..,1135.0,Angel Broking,08 Aug 2018,
Buy,Parag Milk Foods Ltd.,410.0,Angel Broking,08 Aug 2018,
Buy,Mahindra & Mahindra ..,1050.0,Angel Broking,08 Aug 2018,
Buy,ICICI Bank Ltd.,411.0,Angel Broking,30 Jul 2018,ICICIBANK
Buy,YES Bank Ltd.,435.0,Angel Broking,27 Jul 2018,
Buy,Maruti Suzuki India ..,10820.0,Angel Broking,27 Jul 2018,
Buy,Music Broadcast Ltd.,475.0,Angel Broking,26 Jul 2018,RADIOCITY
Hold,UPL Ltd.,680.0,Angel Broking,24 Jul 2018,UPL
Accumulate,HDFC Bank Ltd.,2350.0,Angel Broking,24 Jul 2018,HDFCBANK
Buy,Bata India Ltd.,955.0,Angel Broking,23 Jul 2018,BATAINDIA
Buy,YES Bank Ltd.,435.0,Angel Broking,18 Jul 2018,
Neutral,TCNS Clothing Co. Ltd.,,Angel Broking,16 Jul 2018,
Buy,Aurobindo Pharma Ltd.,770.0,Angel Broking,03 Jul 2018,AUROPHARMA
Buy,Bata India Ltd.,896.0,Angel Broking,18 Jun 2018,
Buy,LT Foods Ltd.,128.0,Angel Broking,05 Jun 2018,
Buy,Safari Industries (I..,720.0,Angel Broking,04 Jun 2018,SAFARI
Buy,Greenply Industries ..,364.0,Angel Broking,31 May 2018,GREENPLY
Buy,Mahindra & Mahindra ..,1050.0,Angel Broking,30 May 2018,M&M
Buy,Siyaram Silk Mills L..,851.0,Angel Broking,30 May 2018,SIYSIL
Buy,Blue Star Ltd.,867.0,Angel Broking,21 May 2018,BLUESTARCO
Buy,KEI Industries Ltd.,508.0,Angel Broking,21 May 2018,KEI
Neutral,Century Plyboards (I..,,Angel Broking,19 May 2018,
Buy,Aditya Birla Capital..,218.0,Angel Broking,19 May 2018,
