Advice,Company,Target,Analyst,Date,Ticker,Reco
Buy,Cummins India Ltd.,570.0,Ajcon Global,2013-12-27,,469.9500122070313
Buy,L&T Finance Ltd.,94.0,Ajcon Global,2013-12-27,,
Buy,Mahindra & Mahindra ..,1305.0,Ajcon Global,2013-12-26,,193.5179443359375
Buy,Parekh Aluminex Ltd.,100.0,Ajcon Global,2013-12-04,,
Buy,Heubach Colorants In..,960.0,Ajcon Global,2013-12-02,,
Buy,Jubilant Pharmova Ltd.,176.0,Ajcon Global,2013-10-25,,76.95748138427734
Buy,Greaves Cotton Ltd.,87.0,Ajcon Global,2013-10-23,,60.0
Buy,RPG Life Sciences Ltd.,100.0,Ajcon Global,2013-09-27,,60.650001525878906
Buy,Sintex Industries Ltd.,30.0,Ajcon Global,2013-09-23,,
Buy,ICICI Bank Ltd.,,Ajcon Global,2013-08-06,,157.5181884765625
Buy,Bank of India,245.0,Ajcon Global,2013-07-29,,180.10000610351562
Buy,HDFC Bank Ltd.,740.0,Ajcon Global,2013-07-19,,340.0
Sell,Reliance Industries ..,840.0,Ajcon Global,2013-07-19,,422.2845764160156
Sell,Kotak Mahindra Bank ..,,Ajcon Global,2013-07-19,,345.42498779296875
Sell,IndusInd Bank Ltd.,,Ajcon Global,2013-07-12,,502.8500061035156
Buy,Sangam (India) Ltd.,64.0,Ajcon Global,2013-07-05,,33.099998474121094
Buy,Sun Pharmaceutical I..,,Ajcon Global,2013-06-13,,474.7000122070313
Buy,DCW Ltd.,26.0,Ajcon Global,2013-06-04,,12.300000190734863
Buy,Eros International M..,350.0,Ajcon Global,2012-12-18,,209.5
Buy,Aurobindo Pharma Ltd.,,Ajcon Global,2012-10-03,,73.2249984741211
Buy,Singer India Ltd.,141.0,Ajcon Global,2012-09-07,,14.739999771118164
Buy,UPL Ltd.,163.0,Ajcon Global,2012-08-02,,80.30000305175781
Buy,Timken India Ltd.,320.0,Ajcon Global,2012-07-18,,231.8500061035156
Accumulate,Jyothy Labs Ltd.,,Ajcon Global,2012-07-02,,57.78749847412109
Buy,Tata Coffee Ltd.,,Ajcon Global,2012-06-02,,
Buy,Shriram Finance Ltd.,750.0,Ajcon Global,2012-05-03,,
Buy,Gammon India Ltd.,75.0,Ajcon Global,2012-02-09,,
Buy,Rossari Biotech Ltd.,950.0,Anand Rathi,2024-06-13,,755.5999755859375
Buy,Kewal Kiran Clothing..,811.0,Anand Rathi,2024-06-04,,635.9500122070312
Buy,Birla Corporation Ltd.,2011.0,Anand Rathi,2024-05-06,BIRLACORPN,1544.4000244140625
Buy,Kotak Mahindra Bank ..,1855.0,Anand Rathi,2024-05-06,,1624.300048828125
Buy,South Indian Bank Ltd.,39.0,Anand Rathi,2024-05-03,,28.799999237060547
Buy,Federal Bank Ltd.,202.0,Anand Rathi,2024-05-02,FEDERALBNK,168.0
Buy,Cholamandalam Invest..,1525.0,Anand Rathi,2024-05-02,,1301.5999755859375
Buy,Orient Cement Ltd.,319.0,Anand Rathi,2024-05-02,ORIENTCEM,223.6000061035156
Buy,Birlasoft Ltd.,810.0,Anand Rathi,2024-05-02,,643.2000122070312
Buy,IndiaMART InterMESH ..,3250.0,Anand Rathi,2024-05-02,,2861.050048828125
Buy,Havells India Ltd.,1911.0,Anand Rathi,2024-05-02,,1667.6500244140625
Buy,Spandana Sphoorty Fi..,1361.0,Anand Rathi,2024-04-29,,879.1500244140625
Buy,L&T Finance Ltd.,205.0,Anand Rathi,2024-04-29,,
Buy,IndusInd Bank Ltd.,1758.0,Anand Rathi,2024-04-25,INDUSINDBK,1496.0999755859375
Buy,DCB Bank Ltd.,181.0,Anand Rathi,2024-04-24,DCBBANK,136.0500030517578
Buy,Jindal Drilling & In..,960.0,Anand Rathi,2024-04-22,,770.5
Buy,Coal India Ltd.,520.0,Anand Rathi,2024-04-22,,442.9500122070313
Buy,Pricol Ltd.,495.0,Anand Rathi,2024-04-18,,427.2000122070313
Buy,Patel Engineering Ltd.,66.0,Anand Rathi,2024-04-16,,59.45000076293945
Buy,Patel Engineering Ltd.,66.0,Anand Rathi,2024-04-16,,59.45000076293945
Buy,Kaynes Technology In..,3100.0,Anand Rathi,2024-04-15,,2457.64990234375
Buy,Kaynes Technology In..,3100.0,Anand Rathi,2024-04-12,,2502.60009765625
Buy,Bharat Electronics L..,250.0,Anand Rathi,2024-03-26,,199.3999938964844
Buy,PI Industries Ltd.,4600.0,Anand Rathi,2024-03-22,,3791.14990234375
Buy,Godrej Consumer Prod..,1360.0,Anand Rathi,2024-03-20,,1215.199951171875
Buy,Tata Power Company L..,256.0,Anand Rathi,2023-05-24,,207.1499938964844
Buy,Laxmi Organic Indust..,310.0,Anand Rathi,2023-05-24,LXCHEM,255.75
Buy,Star Health and Alli..,723.0,Anand Rathi,2023-03-31,,286.3500061035156
Buy,Poonawalla Fincorp L..,417.0,Anand Rathi,2023-03-31,,292.5
Buy,Hero MotoCorp Ltd.,2855.0,Anand Rathi,2023-03-16,,2370.949951171875
Buy,Bharti Airtel Ltd.,890.0,Anand Rathi,2023-03-09,,773.4000244140625
Buy,NCL Industries Ltd.,242.0,Anand Rathi,2022-06-06,NCLIND,167.25
Buy,Gabriel India Ltd.,138.0,Anand Rathi,2022-05-30,,118.4499969482422
Buy,Aditya Birla Fashion..,358.0,Anand Rathi,2022-05-26,,257.3999938964844
Buy,UNO Minda Ltd.,1106.0,Anand Rathi,2022-05-26,,199.0
Buy,Indian Bank,185.0,Anand Rathi,2022-05-24,,159.3000030517578
Buy,JK Lakshmi Cement Ltd.,661.0,Anand Rathi,2022-05-24,,457.8500061035156
Buy,IndiaMART InterMESH ..,5500.0,Anand Rathi,2022-05-24,,2128.875
Buy,Cera Sanitaryware Ltd.,5171.0,Anand Rathi,2022-05-22,,3982.64990234375
Buy,Intellect Design Are..,850.0,Anand Rathi,2022-05-20,,626.8499755859375
Buy,Vinati Organics Ltd.,2350.0,Anand Rathi,2022-05-19,,2046.8499755859373
Buy,Kalpataru Projects I..,427.0,Anand Rathi,2022-05-17,,
Buy,JMC Projects (India)..,148.0,Anand Rathi,2022-05-17,,79.4000015258789
Buy,Birla Corporation Ltd.,1514.0,Anand Rathi,2022-05-17,,1027.6500244140625
Buy,Sagar Cements Ltd.,305.0,Anand Rathi,2022-05-17,,218.0
Buy,Larsen & Toubro Ltd.,1972.0,Anand Rathi,2022-05-16,,1542.9000244140625
Buy,Sharda Cropchem Ltd.,835.0,Anand Rathi,2022-05-16,SHARDACROP,684.5999755859375
Buy,Balkrishna Industrie..,3066.0,Anand Rathi,2022-05-16,BALKRISIND,2050.449951171875
Buy,DCB Bank Ltd.,110.0,Anand Rathi,2022-05-12,,82.30000305175781
Buy,Federal Bank Ltd.,115.0,Anand Rathi,2022-05-12,,85.44999694824219
Buy,TVS Motor Company Ltd.,768.0,Anand Rathi,2022-05-07,,629.0499877929688
Buy,Exide Industries Ltd.,195.0,Anand Rathi,2022-05-07,,146.25
Buy,Exide Industries Ltd.,195.0,Anand Rathi,2022-05-07,,146.25
Buy,Ramkrishna Forgings ..,287.0,Anand Rathi,2022-05-05,,176.0500030517578
Buy,MphasiS Ltd.,4150.0,Anand Rathi,2022-05-05,,2693.14990234375
Buy,IndusInd Bank Ltd.,1200.0,Anand Rathi,2022-05-03,,1018.0999755859376
Buy,Persistent Systems L..,4980.0,Anand Rathi,2022-04-30,,2160.324951171875
Buy,Cyient Ltd.,1250.0,Anand Rathi,2022-04-25,,899.0
Buy,Rallis India Ltd.,320.0,Anand Rathi,2022-04-25,,242.6000061035156
Buy,Mastek Ltd.,3400.0,Anand Rathi,2022-04-22,,2941.699951171875
Buy,Tata Consultancy Ser..,4350.0,Anand Rathi,2022-04-14,,3661.949951171875
Buy,Tata Consultancy Ser..,4350.0,Anand Rathi,2022-04-14,,3661.949951171875
Buy,NCL Industries Ltd.,264.0,Anand Rathi,2022-04-04,,196.1499938964844
Buy,Container Corporatio..,823.0,Anand Rathi,2022-03-28,,659.9500122070312
Buy,Container Corporatio..,823.0,Anand Rathi,2022-03-28,,659.9500122070312
Buy,KSB Ltd.,1352.0,Anand Rathi,2022-03-04,,1053.800048828125
Buy,Ashoka Buildcon Ltd.,159.0,Anand Rathi,2022-02-23,ASHOKA,92.0500030517578
Buy,Ashoka Buildcon Ltd.,159.0,Anand Rathi,2022-02-23,ASHOKA,92.0500030517578
Buy,Ahluwalia Contracts ..,508.0,Anand Rathi,2022-02-23,,380.8500061035156
Buy,PNC Infratech Ltd.,378.0,Anand Rathi,2022-02-23,,272.8999938964844
Buy,PNC Infratech Ltd.,378.0,Anand Rathi,2022-02-23,,272.8999938964844
Buy,PNC Infratech Ltd.,378.0,Anand Rathi,2022-02-23,,272.8999938964844
Buy,Laxmi Organic Indust..,535.0,Anand Rathi,2022-02-15,,437.25
Buy,Endurance Technologi..,1696.0,Anand Rathi,2022-02-15,,1370.9000244140625
Buy,Indian Hotels Compan..,254.0,Anand Rathi,2022-02-13,,206.6000061035156
Buy,Indian Hotels Compan..,254.0,Anand Rathi,2022-02-13,,206.6000061035156
Buy,Indian Hotels Compan..,254.0,Anand Rathi,2022-02-13,,206.6000061035156
Buy,Orient Cement Ltd.,233.0,Anand Rathi,2022-02-04,,171.89999389648438
Buy,SBI Cards and Paymen..,1221.0,Anand Rathi,2022-01-27,,844.4000244140625
Buy,SBI Cards and Paymen..,1221.0,Anand Rathi,2022-01-27,,844.4000244140625
Buy,Sharda Cropchem Ltd.,600.0,Anand Rathi,2022-01-27,,577.8499755859375
Buy,SBI Life Insurance C..,1504.0,Anand Rathi,2022-01-27,,1211.6500244140625
Buy,Sonata Software Ltd.,1050.0,Anand Rathi,2022-01-24,,306.95623779296875
Buy,Amara Raja Energy & ..,907.0,Anand Rathi,2020-10-06,,
Buy,Sudarshan Chemical I..,585.0,Anand Rathi,2020-09-30,,484.6499938964844
Buy,KEC International Ltd.,398.0,Anand Rathi,2020-09-23,,306.0
Buy,Deccan Cements Ltd.,458.0,Anand Rathi,2020-08-20,,289.20001220703125
Buy,Suven Pharmaceutical..,760.0,Anand Rathi,2020-08-18,,326.42498779296875
Buy,Mayur Uniquoters Ltd.,337.0,Anand Rathi,2020-08-18,,278.79998779296875
Buy,Sanghi Industries Ltd.,31.0,Anand Rathi,2020-08-17,,24.950000762939453
Buy,The Ramco Cements Ltd.,777.0,Anand Rathi,2020-08-17,,669.7999877929688
Buy,Greenply Industries ..,110.0,Anand Rathi,2020-08-17,,86.5
Buy,Balkrishna Industrie..,1637.0,Anand Rathi,2020-08-14,,1316.0
